States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Nebraska,92,65,27,3,2,1,6,5,1,6,"$1,496,686","$68,273","$975,011","$453,402","$1,399,477","$3,481,296,640",11
Nevada,316,308,8,22,22,0,19,19,0,13,"$16,422,091","$5,134,354","$5,116,089","$6,171,648","$2,540,575","$5,271,042,050",19
New Hampshire,60,51,9,4,3,1,2,2,0,4,"$396,472","$5,348","$390,038","$1,087","$738,227","$2,611,767,747",8
New Jersey,159,121,38,7,2,5,4,1,3,4,"$6,260,273","$11,420","$5,813,558","$435,295","$5,762,425","$21,885,952,455",30
New Mexico,242,239,3,1,1,0,2,1,1,14,"$3,270,639","$261,094","$2,540,391","$469,153","$3,291,227","$8,545,105,920",22
New York,681,551,130,8,8,0,18,13,5,29,"$57,973,971","$4,148,905","$27,742,506","$26,082,560","$53,919,800","$82,564,771,704",264
North Carolina,366,362,4,6,6,0,13,13,0,14,"$33,859,198","$10,510,047","$14,455,556","$8,893,595","$6,803,332","$19,467,101,160",48
North Dakota,61,46,15,1,1,0,1,0,1,5,"$490,240",$0,"$32,365","$457,874","$808,200","$1,621,017,419",6
Ohio,"1,131",800,331,154,115,39,160,117,43,36,"$9,342,653","$7,950,681","$266,557","$1,125,415","$15,964,277","$31,059,865,818",101
Oklahoma,337,247,90,33,20,13,25,10,15,4,"$6,445,539","$1,398,868","$4,383,555","$663,116","$2,635,282","$7,745,616,099",25
Oregon,63,56,7,11,10,1,7,7,0,4,"$4,464,488","$3,845,810","$618,678",$0,"$3,369,512","$13,695,755,260",17
Pennsylvania,464,377,87,135,118,17,158,153,5,6,"$31,625,625","$22,661,889","$8,963,736",$0,"$10,680,852","$42,294,925,403",70
Puerto Rico,69,46,23,3,0,3,4,3,1,4,"$3,726,344","$100,699","$2,018,909","$1,606,737","$1,145,613","$5,199,877,706",17
Rhode Island,125,108,17,6,1,5,2,2,0,7,"$922,764","$29,072","$823,691","$70,001","$1,323,070","$3,583,681,400",10
South Carolina,178,96,82,40,4,36,27,12,15,9,"$4,990,657","$341,944","$4,572,434","$76,280","$1,946,229","$7,926,296,721",18
South Dakota,72,64,8,1,0,1,1,0,1,9,"$707,352","$2,117","$178,216","$527,020","$549,756","$1,320,070,094",5
Tennessee,214,172,42,38,25,13,28,17,11,13,"$5,762,201","$1,975,511","$1,634,792","$2,151,898","$8,376,147","$12,083,213,396",57
Texas,"1,454","1,303",151,91,74,17,71,59,12,10,"$219,876,848","$187,477,818","$16,184,469","$16,214,561","$23,632,975","$56,569,079,099",153
U.S. Virgin Islands,3,3,0,1,1,0,0,0,0,0,$0,$0,$0,$0,"$479,969","$161,334,817",3
Utah,120,78,42,18,12,6,23,12,11,6,"$1,515,408","$302,568","$210,542","$1,002,299","$2,706,184","$4,397,543,014",15
Vermont,77,25,52,10,3,7,3,2,1,2,"$503,529","$76,701","$1,828","$425,000","$1,335,238","$2,049,357,500",7
Virginia,325,323,2,22,20,2,23,23,0,13,"$20,434,350","$13,009,551","$5,873,506","$1,551,293","$13,250,089","$18,262,708,315",93
Washington,509,444,65,27,24,3,11,9,2,36,"$47,833,749","$2,576","$10,188,189","$37,642,984","$8,985,952","$18,213,259,692",56
West Virginia,173,155,18,12,10,2,14,9,5,20,"$5,138,856","$86,301","$925,348","$4,127,207","$2,149,481","$5,392,745,508",21
Wisconsin,160,146,14,8,5,3,8,6,2,8,"$7,218,161","$250,984","$3,491,620","$3,475,557","$1,672,155","$11,953,068,255",11
Wyoming,48,47,1,0,0,0,1,1,0,6,"$1,136,379","$6,822","$990,030","$139,526","$459,793","$743,710,195",4
GRAND TOTAL,"17,806","14,531","3,275","1,275",885,390,"1,327",946,381,553,"$1,057,116,939","$415,653,075","$246,165,217","$395,298,647","$343,111,662","$823,865,414,079","2,081"
