States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Michigan,484,438,46,13,7,6,10,4,6,24,"$10,698,549","$337,869","$8,936,770","$1,423,911","$6,014,701","$21,340,831,168",30
Minnesota,261,249,12,64,63,1,43,41,2,13,"$9,150,811","$3,212,703","$5,874,960","$63,148","$3,478,390","$15,590,649,664",27
Mississippi,600,118,482,104,2,102,94,5,89,12,"$5,829,452","$4,296,273","$1,501,708","$31,471","$3,477,579","$5,923,387,274",35
Missouri,268,226,42,27,25,2,12,7,5,17,"$4,255,233","$313,537","$1,752,925","$2,188,770","$2,506,867","$11,871,935,492",22
Montana,82,72,10,12,9,3,10,10,0,8,"$813,510","$216,962","$476,548","$120,000","$871,804","$2,263,516,359",9
Nebraska,84,63,21,8,6,2,5,2,3,10,"$1,695,220","$27,165","$1,120,692","$547,363","$1,269,595","$3,254,919,749",11
Nevada,318,311,7,21,21,0,19,18,1,13,"$3,347,791","$1,894,710","$1,187,178","$265,903","$2,532,485","$4,931,364,852",17
New Hampshire,41,36,5,4,2,2,4,4,0,5,"$2,041,288","$1,042,596","$998,691",$0,"$751,409","$2,497,803,826",7
New Jersey,228,171,57,6,5,1,7,5,2,13,"$11,942,473","$115,278","$11,698,042","$129,152","$4,385,100","$19,957,238,404",31
New Mexico,248,239,9,3,3,0,11,11,0,12,"$8,565,048","$485,891","$7,142,487","$936,669","$3,143,072","$7,155,993,020",24
New York,821,653,168,10,6,4,12,9,3,49,"$77,077,498","$483,804","$49,964,870","$26,628,824","$50,917,580","$73,267,974,087",254
North Carolina,366,360,6,11,10,1,15,14,1,35,"$120,331,089","$52,760,514","$15,872,545","$51,698,031","$6,701,349","$17,700,091,176",47
North Dakota,60,40,20,4,2,2,0,0,0,3,"$133,734",$0,"$133,734",$0,"$668,515","$1,476,249,310",6
Ohio,"1,058",747,311,197,136,61,156,115,41,37,"$39,905,702","$5,873,600","$33,790,821","$241,280","$14,171,847","$28,426,566,254",105
Oklahoma,294,215,79,32,11,21,17,8,9,12,"$2,813,307","$878,297","$1,920,138","$14,872","$2,260,561","$5,557,090,896",22
Oregon,74,65,9,5,4,1,6,5,1,13,"$8,901,369","$162,433","$3,583,502","$5,155,435","$3,004,276","$11,744,178,139",15
Pennsylvania,569,512,57,115,112,3,98,94,4,10,"$33,583,686","$4,993,862","$28,589,824",$0,"$10,289,239","$38,236,422,291",72
Puerto Rico,51,35,16,12,6,6,2,2,0,4,"$497,204","$7,793","$3,936","$485,475","$938,095","$3,221,483,398",15
Rhode Island,122,101,21,4,2,2,1,1,0,10,"$3,152,411","$105,106","$2,816,676","$230,629","$1,263,015","$3,177,656,762",10
South Carolina,221,136,85,13,0,13,6,4,2,12,"$8,180,240","$3,719,803","$2,874,660","$1,585,777","$1,649,133","$7,401,541,544",17
South Dakota,65,62,3,3,1,2,2,1,1,9,"$745,994","$4,894","$161,291","$579,809","$480,628","$1,059,995,110",5
Tennessee,232,188,44,21,13,8,17,14,3,15,"$184,558,620","$11,786,095","$9,294,265","$163,478,260","$8,021,980","$11,865,100,334",59
Texas,"1,532","1,390",142,78,64,14,53,48,5,13,"$394,766,169","$374,092,514","$20,671,550","$2,104","$21,103,472","$46,867,347,267",156
U.S. Virgin Islands,5,4,1,2,2,0,0,0,0,0,$0,$0,$0,$0,"$473,357","$111,364,237",4
Utah,126,84,42,16,6,10,15,4,11,13,"$26,924,827","$35,417","$1,764,170","$25,125,240","$2,531,436","$3,692,743,490",16
Vermont,60,33,27,4,1,3,6,6,0,5,"$5,000,137","$53,613","$4,794,642","$151,882","$1,150,722","$1,831,974,331",9
Virginia,336,334,2,28,25,3,31,28,3,16,"$444,355,438","$339,952,041","$101,444,141","$2,959,256","$12,551,368","$12,014,392,116",90
Washington,471,414,57,8,5,3,6,4,2,16,"$3,330,927","$118,033","$3,051,845","$161,050","$8,250,588","$17,816,241,636",48
West Virginia,192,179,13,19,16,3,13,12,1,9,"$6,311,512","$44,473","$5,964,931","$302,108","$1,624,207","$4,804,270,561",19
Wisconsin,184,171,13,12,8,4,0,0,0,12,"$8,280,538",$0,"$7,440,457","$840,081","$1,487,023","$10,809,161,768",12
Wyoming,49,46,3,1,1,0,2,2,0,6,"$1,902,143","$104,498","$259,645","$1,538,000","$396,986","$669,526,264",4
GRAND TOTAL,"18,815","15,400","3,415","1,413",962,451,"1,105",780,325,716,"$1,682,817,355","$856,634,176","$447,509,120","$378,674,059","$314,027,657","$740,285,561,048","2,048"
