States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
New Hampshire,65,38,27,7,2,5,4,1,3,14,"$738,734",$310,"$712,364","$26,060","$761,237","$2,163,399,761",7
New Jersey,436,405,31,15,6,9,13,9,4,15,"$6,862,005","$2,583,205","$4,278,800",$0,"$3,966,532","$15,565,737,636",30
New Mexico,220,207,13,7,7,0,3,3,0,21,"$1,712,900","$8,739","$992,624","$711,537","$2,681,856","$5,020,119,695",23
New York,760,640,120,111,79,32,118,70,48,74,"$132,095,792","$27,762,148","$61,499,156","$42,834,489","$49,583,121","$78,563,137,293",299
North Carolina,365,362,3,3,3,0,17,14,3,21,"$30,577,963","$18,432,938","$3,212,652","$8,932,373","$6,084,052","$14,011,600,177",49
Ohio,1336,894,442,168,121,47,155,123,32,20,"$25,805,602","$20,879,345","$4,583,900","$342,357","$12,111,876","$23,988,555,231",95
Oklahoma,270,207,63,17,7,10,29,19,10,16,"$4,140,007","$2,406,044","$1,572,461","$161,502","$2,265,247","$4,839,553,798",28
Oregon,87,82,5,52,50,2,45,41,4,11,"$8,143,439","$3,146,365","$4,997,074",$0,"$2,543,190","$8,826,395,049",15
Pennsylvania,487,462,25,105,103,2,90,84,6,13,"$13,767,733","$11,612,309","$2,155,424",$0,"$8,293,636","$29,083,711,619",62
Rhode Island,97,82,15,4,2,2,10,6,4,9,"$603,040","$303,146","$272,894","$27,000","$1,391,749","$2,786,350,493",12
South Carolina,179,130,49,17,12,5,13,9,4,19,"$13,229,597","$1,405,895","$8,544,963","$3,278,739","$1,554,842","$6,268,421,251",15
South Dakota,50,46,4,2,1,1,3,0,3,15,"$180,720","$5,473","$173,247","$2,000","$437,121","$902,719,239",4
Tennessee,227,205,22,35,26,9,16,8,8,24,"$18,270,732","$5,640,063","$8,750,717","$3,879,953","$4,739,841","$9,661,478,672",38
Texas,1335,1194,141,108,98,10,137,128,9,17,"$534,055,131","$518,651,546","$6,404,664","$8,998,921","$21,751,952","$37,152,558,007",164
Utah,152,120,32,14,8,6,6,2,4,2,"$934,994","$153,602","$778,074","$3,318","$2,073,403","$2,589,750,289",13
Vermont,71,62,9,5,5,0,7,5,2,15,"$7,264,139","$243,566","$134,942","$6,885,631","$1,009,972","$1,742,676,601",8
Virginia,408,408,0,42,42,0,41,40,1,26,"$30,422,785","$1,273,509","$24,867,683","$4,281,593","$10,960,875","$9,458,031,224",91
Washington,294,284,10,4,4,0,5,5,0,18,"$2,885,264","$55,064","$2,160,592","$669,609","$4,787,022","$12,606,903,927",37
West Virginia,154,142,12,10,8,2,5,4,1,15,"$5,769,428","$103,075","$3,197,325","$2,469,029","$1,159,292","$4,157,807,522",11
Wisconsin,238,224,14,1,1,0,1,1,0,22,"$24,336,396","$19,370","$4,517,026","$19,800,000","$1,481,974","$8,503,112,507",13
Wyoming,33,30,3,1,1,0,6,4,2,10,"$614,033","$107,832","$503,182","$3,019","$467,506","$648,699,099",4
Grand Total,"18,713","15,302","3,411","1,761","1,311",450,"1,528","1,157",371,961,"$1,801,326,509","$693,372,320","$343,020,200","$764,933,989","$276,364,540","$596,434,360,108","2,037"
