States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
North Carolina,409,402,7,6,6,0,5,5,0,15,"$27,871,589","$8,729,398","$16,498,752","$2,643,438","$5,668,883","$15,607,811,031",48
North Dakota,32,27,5,1,0,1,0,0,0,6,"$184,015",$0,"$184,015",$0,"$698,171","$1,374,445,441",5
Ohio,"1,162",826,336,139,95,44,118,86,32,20,"$75,341,136","$30,611,816","$44,583,352","$145,967","$13,701,708","$26,187,237,969",104
Oklahoma,312,207,105,21,3,18,16,5,11,13,"$20,626,562","$1,334,516","$5,700,215","$13,591,830","$2,311,631","$5,173,834,353",25
Oregon,84,74,10,4,4,0,10,10,0,6,"$2,017,947","$230,616","$1,787,331",$0,"$2,565,874","$11,197,091,390",14
Pennsylvania,573,513,60,194,187,7,142,134,8,7,"$60,620,845","$1,493,114","$59,127,731",$0,"$10,699,497","$36,002,255,104",72
Puerto Rico,44,34,10,1,1,0,0,0,0,3,"$381,034",$0,"$381,034",$0,"$810,951","$2,873,339,415",13
Rhode Island,103,87,16,3,2,1,0,0,0,13,"$5,868,498",$0,"$5,832,584","$35,914","$1,255,423","$2,961,434,109",10
South Carolina,336,236,100,21,10,11,14,2,12,10,"$8,104,192","$241,854","$5,197,264","$2,665,074","$1,615,842","$7,031,608,207",14
South Dakota,74,66,8,3,1,2,3,1,2,10,"$810,831","$463,237","$336,734","$10,861","$479,276","$982,499,940",5
Tennessee,244,214,30,20,15,5,6,5,1,33,"$44,456,267","$1,796,185","$22,999,008","$19,661,073","$7,826,023","$12,258,135,031",59
Texas,"1,512","1,382",130,96,82,14,37,35,2,15,"$74,435,337","$60,514,525","$12,867,176","$1,053,636","$21,655,107","$43,297,652,683",161
U.S. Virgin Islands,14,13,1,0,0,0,0,0,0,0,$0,$0,$0,$0,"$323,923","$86,450,380",4
Utah,151,116,35,17,6,11,9,3,6,52,"$2,473,344","$198,606","$2,167,546","$107,192","$2,351,573","$3,264,010,842",15
Vermont,72,51,21,16,15,1,4,4,0,8,"$11,733,234","$54,834","$10,801,629","$876,771","$957,670","$1,795,293,573",6
Virginia,446,444,2,18,16,2,44,43,1,24,"$28,546,778","$9,116,380","$9,090,710","$10,339,688","$11,483,807","$10,378,177,032",92
Washington,473,413,60,19,9,10,11,6,5,28,"$12,778,764","$1,894,733","$7,713,225","$3,170,806","$8,427,268","$14,577,570,938",55
West Virginia,215,192,23,5,3,2,4,2,2,6,"$14,887,448","$91,877","$12,100,261","$2,695,310","$1,290,508","$4,294,691,890",19
Wisconsin,180,166,14,2,2,0,6,4,2,19,"$16,443,724","$35,334","$13,337,498","$3,070,892","$1,431,179","$9,846,290,921",10
Wyoming,54,53,1,3,2,1,1,1,0,6,"$849,322","$2,100","$847,122",$100,"$443,354","$692,031,455",4
GRAND TOTAL,"19,720","16,399","3,321","1,325",987,338,"1,017",774,243,786,"$1,027,995,702","$173,194,611","$636,541,119","$218,259,966","$305,842,035","$678,892,781,237","2,034"
