States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Mississippi,594,85,509,72,6,66,60,5,55,18,"$14,838,348","$11,571,159","$2,393,747","$873,442","$3,473,671","$5,313,720,236",35
Missouri,177,162,15,11,7,4,15,13,2,29,"$12,092,210","$726,644","$2,647,957","$8,717,608","$2,345,934","$9,868,941,095",23
Montana,31,24,7,6,5,1,7,5,2,6,"$220,966","$151,974","$68,992",$0,"$825,259","$1,208,709,907",7
Nebraska,125,97,28,10,8,2,12,6,6,7,"$671,715","$124,231","$482,891","$64,593","$894,437","$1,973,545,225",9
Nevada,65,61,4,14,14,0,13,13,0,7,"$5,344,240","$3,387,397","$256,843","$1,700,000","$1,932,571","$3,265,706,343",19
New Hampshire,37,26,11,4,0,4,0,0,0,13,"$486,835","$5,610","$301,247","$179,977","$780,464","$1,840,725,765",8
New Jersey,422,397,25,27,24,3,18,12,6,14,"$3,192,822","$711,783","$2,481,039",$0,"$3,867,591","$14,829,609,984",28
New Mexico,203,199,4,12,12,0,7,7,0,12,"$351,475","$57,242","$213,532","$80,701","$2,124,374","$5,083,042,074",19
New York,798,652,146,115,72,43,110,57,53,65,"$63,347,458","$2,887,003","$8,027,331","$52,433,124","$47,301,283","$59,681,117,761",281
North Carolina,406,397,9,16,13,3,18,14,4,20,"$23,127,933","$8,172,451","$1,536,510","$13,418,973","$5,350,038","$13,878,014,268",49
Ohio,"1,418",986,432,175,139,36,160,133,27,17,"$18,739,232","$12,562,704","$5,797,800","$378,728","$10,109,229","$22,283,505,297",94
Oklahoma,263,197,66,41,21,20,32,17,15,10,"$7,051,062","$1,035,280","$815,782","$5,200,000","$2,481,047","$4,948,050,867",24
Oregon,64,58,6,39,30,9,39,30,9,8,"$597,387","$188,867","$408,520",$0,"$2,220,933","$8,568,555,342",15
Pennsylvania,474,446,28,118,114,4,95,93,2,8,"$11,702,515","$7,579,540","$4,122,975",$0,"$6,106,400","$24,099,877,747",46
Rhode Island,42,28,14,14,5,9,10,7,3,24,"$535,729","$9,739","$101,554","$424,436","$1,204,592","$2,729,259,438",12
South Carolina,216,172,44,17,11,6,18,15,3,9,"$2,691,883","$408,045","$2,278,899","$4,939","$1,659,501","$6,027,888,585",15
South Dakota,68,68,0,2,2,0,2,2,0,19,"$189,827","$27,680","$75,100","$87,047","$423,692","$860,846,154",5
Tennessee,264,222,42,23,10,13,21,9,12,18,"$39,972,848","$167,309","$4,048,551","$35,756,988","$4,478,992","$9,506,550,239",36
Texas,"1,356","1,210",146,123,117,6,85,68,17,10,"$210,086,663","$206,617,091","$3,437,584","$31,988","$17,634,003","$36,147,676,703",161
Utah,138,118,20,4,1,3,5,2,3,26,"$6,229,191","$194,300","$409,891","$5,625,000","$1,873,604","$2,300,014,634",13
Vermont,81,70,11,9,9,0,8,7,1,4,"$213,572","$69,453","$50,609","$93,510","$858,283","$1,666,066,978",7
Virginia,384,378,6,60,53,7,59,52,7,21,"$11,377,868","$6,338,686","$4,703,483","$335,698","$11,091,982","$8,510,779,754",100
Washington,186,179,7,16,13,3,15,11,4,13,"$5,979,073","$162,701","$2,151,942","$3,664,430","$4,159,243","$11,074,882,616",35
West Virginia,147,128,19,8,6,2,9,6,3,16,"$2,357,065","$17,932","$614,307","$1,724,827","$1,417,821","$3,835,749,849",18
Wisconsin,477,468,9,11,11,0,5,5,0,12,"$33,550,932","$1,547,374","$2,728,557","$29,275,001","$1,512,865","$8,212,122,596",13
Wyoming,60,57,3,2,2,0,3,2,1,8,"$44,448","$21,013","$23,435",$0,"$475,174","$621,092,843",4
Grand Total,"17,665","14,441","3,224","1,892","1,387",505,"1,553","1,097",456,795,"$744,880,347","$348,154,830","$146,926,639","$249,798,878","$250,688,895","$548,190,828,914","1,944"
